time, value, t-delta
1358064509, 192, 90
1358064810, 188, 90
1358065111, 141, 90
1358065412, 137, 90
1358065713, 137, 90
1358066014, 128, 90
1358066315, 128, 90
1358066616, 1376, 90
1358066917, 1589, 90
1358067218, 1604, 90
1358067519, 2599, 90
1358067820, 2626, 90
1358068121, 1481, 90
1358068422, 485, 90
1358068723, 420, 90
1358069024, 590, 90
1358069325, 444, 90
1358069626, 437, 90
1358069927, 435, 90
1358070227, 423, 90
1358070529, 368, 90
1358070829, 305, 90
1358071131, 944, 90
1358071432, 3105, 90
1358071733, 3404, 90
1358072034, 1830, 90
1358072335, 1198, 90
1358072636, 1633, 90
1358072937, 1129, 90
1358073238, 1058, 90
1358073539, 2540, 90
1358073845, 2311, 90
1358074149, 759, 90
1358074450, 175, 90
1358074751, 176, 90
1358075052, 180, 90
1358075354, 133, 90
1358075655, 118, 90
1358075956, 113, 90
1358076257, 112, 90
1358076558, 113, 90
1358076859, 107, 90
1358077160, 107, 90
1358077461, 116, 90
1358077763, 194, 90
1358078064, 210, 90
1358078365, 200, 90
1358078666, 216, 90
1358078967, 194, 90
1358079268, 195, 90
1358079569, 194, 90
1358079870, 200, 90
1358080171, 191, 90
1358080472, 190, 90
1358080773, 180, 90
1358081074, 180, 90
1358081375, 399, 90
1358081677, 2376, 90
1358081978, 1964, 90
1358082279, 177, 90
1358082581, 131, 90
1358082881, 131, 90
1358083182, 139, 90
1358083484, 132, 90
1358083785, 132, 90
1358084086, 133, 90
1358084387, 133, 90
1358084688, 134, 90
1358084989, 188, 90
1358085290, 195, 90
1358085591, 194, 90
1358085893, 175, 90
1358086193, 135, 90
1358086494, 138, 90
1358086795, 136, 90
1358087098, 151, 90
1358087399, 154, 90
1358087700, 155, 90
1358088001, 174, 90
1358088311, 345, 90
1358088612, 252, 90
1358088913, 275, 90
1358089214, 350, 90
1358089515, 225, 90
1358089816, 184, 90
1358090117, 178, 90
1358090418, 180, 90
1358090719, 178, 90
1358091020, 178, 90
1358091321, 178, 90
1358091622, 178, 90
1358091923, 217, 90
1358092224, 215, 90
1358092525, 187, 90
1358092826, 160, 90
1358093127, 220, 90
1358093428, 272, 90
1358093729, 237, 90
1358094030, 196, 90
1358094331, 1771, 90
1358094632, 331, 90
1358094933, 1046, 90
1358095236, 1937, 90
1358095537, 622, 90
1358095838, 1634, 90
1358096139, 586, 90
1358096440, 1300, 90
1358096741, 2373, 90
1358097042, 2428, 90
1358097343, 307, 90
1358097644, 183, 90
1358097945, 192, 90
1358098246, 189, 90
1358098547, 280, 90
1358098848, 350, 90
1358099150, 837, 90
1358099451, 2565, 90
1358099752, 2465, 90
1358100053, 2433, 90
1358100354, 1342, 90
1358100656, 4548, 90
1358100957, 4300, 90
1358101258, 996, 90
1358101559, 3605, 90
1358101860, 4851, 90
1358102161, 4901, 90
1358102462, 4930, 90
1358102763, 4471, 90
1358103064, 2604, 90
1358103365, 2657, 90
1358103666, 2765, 90
1358103967, 957, 90
1358104269, 513, 90
1358104570, 513, 90
1358104871, 444, 90
1358105173, 320, 90
1358105474, 316, 90
1358105775, 298, 90
1358106076, 272, 90
1358106377, 236, 90
1358106678, 225, 90
1358106979, 191, 90
1358107280, 190, 90
1358107581, 190, 90
1358107883, 323, 90
1358108184, 493, 90
1358108485, 491, 90
1358108786, 490, 90
1358109087, 432, 90
1358109388, 431, 90
1358109689, 325, 90
1358109990, 195, 90
1358110292, 299, 90
1358110593, 222, 90
1358110894, 256, 90
1358111195, 205, 90
1358111496, 258, 90
1358111797, 250, 90
1358112098, 234, 90
1358112399, 193, 90
1358112700, 190, 90
1358113001, 1364, 90
1358113302, 2289, 90
1358113603, 857, 90
1358113904, 192, 90
1358114205, 233, 90
1358114507, 278, 90
1358114807, 298, 90
1358115108, 294, 90
1358115409, 271, 90
1358115710, 240, 90
1358116011, 243, 90
1358116312, 241, 90
1358116613, 294, 90
1358116914, 377, 90
1358117215, 341, 90
1358117516, 172, 90
1358117817, 160, 90
1358118118, 186, 90
1358118419, 182, 90
1358118720, 163, 90
1358119021, 128, 90
1358119322, 128, 90
1358119623, 129, 90
1358119924, 127, 90
1358120225, 126, 90
1358120526, 126, 90
1358120827, 132, 90
1358121128, 160, 90
1358121429, 185, 90
1358121730, 183, 90
1358122032, 172, 90
1358122333, 125, 90
1358122634, 126, 90
1358122935, 125, 90
1358123236, 125, 90
1358123537, 123, 90
1358123838, 175, 90
1358124139, 1650, 90
1358124440, 2335, 90
1358124741, 507, 90
1358125042, 228, 90
1358125343, 225, 90
1358125644, 184, 90
1358125945, 170, 90
1358126246, 168, 90
1358126547, 152, 90
1358126848, 123, 90
1358127149, 132, 90
1358127450, 122, 90
1358127751, 124, 90
1358128052, 166, 90
1358128353, 182, 90
1358128654, 178, 90
1358128955, 155, 90
1358129256, 119, 90
1358129557, 118, 90
1358129858, 118, 90
1358130159, 117, 90
1358130460, 122, 90
1358130761, 115, 90
1358131062, 114, 90
1358131363, 118, 90
1358131663, 175, 90
1358131964, 171, 90
1358132265, 169, 90
1358132566, 120, 90
1358132867, 125, 90
1358133168, 160, 90
1358133469, 160, 90
1358133770, 166, 90
1358134071, 158, 90
1358134372, 156, 90
1358134673, 155, 90
1358134974, 188, 90
1358135275, 211, 90
1358135576, 208, 90
1358135877, 175, 90
1358136178, 110, 90
1358136479, 108, 90
1358136780, 109, 90
1358137081, 114, 90
1358137382, 109, 90
1358137683, 109, 90
1358137984, 109, 90
1358138285, 112, 90
1358138587, 171, 90
1358138890, 164, 90
1358139191, 162, 90
1358139492, 117, 90
1358139793, 108, 90
1358140094, 111, 90
1358140395, 112, 90
1358140696, 108, 90
1358140997, 108, 90
1358141298, 122, 90
1358141599, 155, 90
1358141903, 190, 90
1358142204, 559, 90
1358142505, 2388, 90
1358142806, 2353, 90
1358143107, 493, 90
1358143408, 162, 90
1358143709, 155, 90
1358144010, 151, 90
1358144311, 120, 90
1358144612, 110, 90
1358144913, 118, 90
1358145214, 159, 90
1358145515, 246, 90
1358145816, 410, 90
1358146117, 1281, 90
1358146418, 976, 90
1358146719, 211, 90
1358147020, 538, 90
1358147321, 427, 90
1358147622, 252, 90
1358147923, 219, 90
1358148225, 176, 90
1358148525, 174, 90
1358148828, 163, 90
1358149129, 197, 90
1358149430, 247, 90
1358149731, 260, 90
1358150032, 264, 90
1358150333, 212, 90
1358150634, 209, 90
1358150935, 209, 90
1358151236, 207, 90
1358151537, 208, 90
1358151838, 207, 90
